,institution,us_region,acs_trauma_region,specialty,years_in_practice,leadership,question_id,question_text,question_category,question_keyword,num_response,text_response
5492,vanderbilt,Southeast,4,Surgical Oncology,8,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5493,vanderbilt,Southeast,4,"Abdominal Wall/Hernia Surgery,Bariatric/Minimally Invasive Surgery",1,,Q6.1,comments,comments,comments,,
5494,vanderbilt,Southeast,4,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Colon and Rectal Surgery,Hepatopancreaticobiliary Surgery,Surgical Oncology,Transplant Surgery",35,,Q6.1,comments,comments,comments,,
5495,vanderbilt,Southeast,4,"Acute Care Surgery/Emergency General Surgery,Pediatric Surgery,Trauma Surgery/Critical Care",18,,Q6.1,comments,comments,comments,,
5496,vanderbilt,Southeast,4,Vascular Surgery,17,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5497,vanderbilt,Southeast,4,Abdominal Wall/Hernia Surgery,9,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5498,vanderbilt,Southeast,4,Pediatric Surgery,21,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,Good effort.,Good effort.
5499,vanderbilt,Southeast,4,Bariatric/Minimally Invasive Surgery,15,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5500,vanderbilt,Southeast,4,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",11,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5501,vanderbilt,Southeast,4,"Hepatopancreaticobiliary Surgery,Transplant Surgery",22,,Q6.1,comments,comments,comments,,
5502,vanderbilt,Southeast,4,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Colon and Rectal Surgery,Trauma Surgery/Critical Care",,,Q6.1,comments,comments,comments,,
5503,vanderbilt,Southeast,4,Pediatric Surgery,,Department Chair,Q6.1,comments,comments,comments,,
5969,cornell,Northeast,2,Acute Care Surgery/Emergency General Surgery,20,,Q6.1,comments,comments,comments,,
5970,cornell,Northeast,2,Other,0.15,,Q6.1,comments,comments,comments,,
5971,cornell,Northeast,2,Colon and Rectal Surgery,13,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5972,cornell,Northeast,2,"Abdominal Wall/Hernia Surgery,Endocrine Surgery",30,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5973,cornell,Northeast,2,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Colon and Rectal Surgery,Trauma Surgery/Critical Care",33,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5974,cornell,Northeast,2,Vascular Surgery,18,,Q6.1,comments,comments,comments,,
5975,cornell,Northeast,2,Other,21,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5976,cornell,Northeast,2,Other,39,Department Chair,Q6.1,comments,comments,comments,,
5977,cornell,Northeast,2,Colon and Rectal Surgery,19,,Q6.1,comments,comments,comments,,
5978,cornell,Northeast,2,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery",19,,Q6.1,comments,comments,comments,,
5979,cornell,Northeast,2,Colon and Rectal Surgery,4,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5980,cornell,Northeast,2,"Abdominal Wall/Hernia Surgery,Breast Surgery",31,,Q6.1,comments,comments,comments,,
5981,cornell,Northeast,2,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",7,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
5982,cornell,Northeast,2,Other,22,Department Chair,Q6.1,comments,comments,comments,,
5983,cornell,Northeast,2,Hepatopancreaticobiliary Surgery,6,,Q6.1,comments,comments,comments,,
