,survey_info_start_date,survey_info_end_date,survey_info_status,survey_info_ip_address,survey_info_progress,survey_info_duration,survey_info_finished,survey_info_recorded_date,survey_info_response_id,survey_info_last_name,survey_info_first_name,survey_info_email,survey_info_reference,survey_info_latitute,survey_info_longitude,survey_info_dist_channel,survey_info_language,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,inactive_state,inactive_institution_name,inactive_practice_setting,demographic_practice_list,demographic_role_list,demographic_years_in_practice,comments_text,demographic_distribution,quality_ambiguous_text,quality_ambiguous_questions,quality_straightlining_pct,quality_straightlining_questions,quality_unanswered_pct,quality_unanswered_questions,,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size,quality_unanswered_length
66,2023-06-17 08:00:43,2023-06-17 08:05:25,IP Address,107.77.231.137,100,281,True,2023-06-17 08:05:25,R_PCIAHqBPdGfla6t,,,,,34.0486,-118.1796,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Moderately true,Almost never,Sometimes,Quite true,Quite confident,Quite willing,Quite willing,Moderately willing,Moderately willing,Quite willing,Moderately willing,Quite willing,Moderately willing,I am already doing this,I am already doing this,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Cardiac Surgery'],,21,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
67,2023-06-17 10:55:40,2023-06-17 11:03:12,IP Address,128.218.42.11,100,451,True,2023-06-17 11:03:13,R_5tDgSd6XfVXHefL,,,,,37.7642,-122.3993,anonymous,EN,Quite critical,Extremely motivated,Quite a high priority,Moderately well,Not at a lot of effort,Slightly well,Quite true,Moderately true,Almost always,Once in a while,Quite true,Slightly confident,Quite willing,Moderately willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Slightly willing,Extremely willing,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,['Endocrine Surgery'],,20,"One concern I have with reusable ligasure or such are the blunting of cutting devices with repeated use. Maybe there could be some guidelines of reusing an instrument vs discarding it by how long it was used the first time, and maybe no longer than two or three short uses max. ",ucsf,0,,0,0,,['0.02857142857142857'],QID1,West,9,123,1
68,2023-06-17 12:04:34,2023-06-17 12:09:14,IP Address,128.218.42.158,100,279,True,2023-06-17 12:09:14,R_3KotdALI6hAQecj,,,,,37.7642,-122.3993,anonymous,EN,Quite critical,Extremely motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Quite true,Often,Sometimes,Not at all true,Moderately confident,Quite willing,Quite willing,Quite willing,Quite willing,Quite willing,Quite willing,Quite willing,Quite willing,I am already doing this,Extremely willing,Not at all motivated,Slightly motivated,Not at all motivated,Moderately motivated,Slightly motivated,Slightly motivated,Quite motivated,Moderately motivated,Moderately motivated,,,,['Thoracic Surgery'],Program Director (or Assistant Program Director),5,,ucsf,0,,0,0,,['0.02857142857142857'],QID13,West,9,123,1
69,2023-06-17 12:26:10,2023-06-17 12:33:06,IP Address,209.77.137.57,100,415,True,2023-06-17 12:33:06,R_1hMvjd86HNKG9fZ,,,,,37.8381,-122.2609,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Extremely well,Quite a bit of effort,Slightly well,Quite true,Moderately true,Often,Almost always,Extremely true,Extremely true,I am already doing this,Moderately willing,Slightly willing,Slightly willing,Quite willing,Quite willing,Extremely willing,I am already doing this,Extremely willing,Extremely willing,Not at all motivated,Extremely motivated,Not at all motivated,Extremely motivated,Not at all motivated,Extremely motivated,Not at all motivated,Extremely motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Breast Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Pediatric Surgery', 'Surgical Oncology', 'Thoracic Surgery', 'Trauma Surgery/Critical Care']",Sustainability Director (or Coordinator),40,"Looking forward with receiving the results and overall plan moving forward.
JM Betts",ucsf,0,,0,0,,['0'],,West,9,123,1
71,2023-06-18 08:16:06,2023-06-18 08:20:57,IP Address,128.252.172.31,100,291,True,2023-06-18 08:20:57,R_AA2QAsjxWke1z2x,,,,,38.6154,-90.2159,anonymous,EN,Extremely critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Not very well,Extremely true,Quite true,Often,Often,Slightly true,Quite confident,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Slightly willing,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Not at all motivated,Not at all motivated,Extremely motivated,Not at all motivated,,,,"['Breast Surgery', 'Surgical Oncology']",,20,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
72,2023-06-18 09:48:41,2023-06-18 09:56:03,IP Address,76.224.187.112,100,441,True,2023-06-18 09:56:03,R_2f99mkgC2P2rK8j,,,,,37.9483,-122.5379,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Not at all true,Slightly true,Often,Often,Quite true,Not at all confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Slightly willing,Extremely willing,Extremely willing,Extremely willing,Not at all willing,Extremely motivated,Moderately motivated,Quite motivated,Quite motivated,Extremely motivated,Moderately motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Other']",,5,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
75,2023-06-18 14:30:51,2023-06-18 14:36:48,IP Address,184.169.45.4,100,357,True,2023-06-18 14:36:49,R_2rpiMiAlsPTav2k,,,,,37.751,-97.822,anonymous,EN,Slightly critical,Slightly motivated,Low priority,Not very well,Not at a lot of effort,Not very well,Slightly true,Quite true,Often,Often,Moderately true,Slightly confident,Moderately willing,Quite willing,Slightly willing,Slightly willing,I am already doing this,I am already doing this,I am already doing this,I am already doing this,Extremely willing,I am already doing this,Moderately motivated,Slightly motivated,Quite motivated,Moderately motivated,Slightly motivated,Not at all motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,['Bariatric/Minimally Invasive Surgery'],Program Director (or Assistant Program Director),14,,washu,0,,0,0,,['0.02857142857142857'],QID13,Midwest,7,99,1
76,2023-06-18 15:09:03,2023-06-18 15:21:11,IP Address,99.117.244.64,100,727,True,2023-06-18 15:21:12,R_XtyH5hQvA3GzYop,,,,,38.6287,-90.1988,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Slightly well,Not at a lot of effort,Moderately well,Quite true,Quite true,Sometimes,Almost always,Slightly true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Slightly motivated,Slightly motivated,Moderately motivated,Quite motivated,,,,['Bariatric/Minimally Invasive Surgery'],,7,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
77,2023-06-18 19:04:26,2023-06-18 19:08:46,IP Address,163.116.144.33,100,260,True,2023-06-18 19:08:47,R_vHXlARDFRaRQBbj,,,,,42.3562,-71.0631,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Quite true,Sometimes,Often,Slightly true,Quite confident,Quite willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,Moderately willing,Quite willing,I am already doing this,I am already doing this,I am unable to do this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Slightly motivated,Moderately motivated,Moderately motivated,Quite motivated,Moderately motivated,,,,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),10,,lahey,0,,0,0,,['0.02857142857142857'],QID13,Northeast,1,38,1
78,2023-06-19 09:38:02,2023-06-19 09:41:54,IP Address,163.116.144.32,100,232,True,2023-06-19 09:41:54,R_38fWn4nWrwLvQgp,,,,,42.3562,-71.0631,anonymous,EN,Quite critical,Moderately motivated,Moderate priority,Slightly well,Slight effort,Slightly well,Moderately true,Moderately true,Sometimes,Once in a while,Moderately true,Moderately confident,Moderately willing,Moderately willing,Quite willing,Moderately willing,Extremely willing,Moderately willing,Extremely willing,I am already doing this,I am already doing this,Moderately willing,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,31,,lahey,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,1,38,1
79,2023-06-19 11:04:28,2023-06-19 11:07:54,IP Address,67.188.37.105,100,206,True,2023-06-19 11:07:55,R_9nUzzlmxsBmD31L,,,,,37.7441,-122.48,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Slightly well,Slight effort,Slightly well,Moderately true,Moderately true,Often,Sometimes,Moderately true,Not at all confident,Quite willing,Extremely willing,Quite willing,Quite willing,Extremely willing,Quite willing,Extremely willing,I am already doing this,Moderately willing,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Quite motivated,Extremely motivated,Extremely motivated,Moderately motivated,Moderately motivated,Slightly motivated,,,,['Endocrine Surgery'],Program Director (or Assistant Program Director),16,,ucsf,0,,0,0,,['0.02857142857142857'],QID13,West,9,123,1
80,2023-06-19 13:25:57,2023-06-19 13:29:40,IP Address,128.252.210.1,100,222,True,2023-06-19 13:29:40,R_6lg5NvipUsF30t3,,,,,38.6433,-90.2575,anonymous,EN,Moderately critical,Slightly motivated,Moderate priority,Moderately well,Not at a lot of effort,Slightly well,Slightly true,Quite true,Sometimes,Sometimes,Quite true,Not at all confident,Moderately willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Moderately willing,Quite willing,I am already doing this,Slightly willing,Slightly willing,Extremely motivated,Slightly motivated,Extremely motivated,Moderately motivated,Quite motivated,Slightly motivated,Slightly motivated,Moderately motivated,Quite motivated,,,,['Trauma Surgery/Critical Care'],,1,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
82,2023-06-20 06:25:42,2023-06-20 06:34:14,IP Address,128.252.210.2,100,512,True,2023-06-20 06:34:15,R_0kCFGtdXA2I7U7D,,,,,38.6433,-90.2575,anonymous,EN,Quite critical,Quite motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Slightly true,Quite true,Almost always,Almost always,Quite true,Moderately confident,Slightly willing,Quite willing,Slightly willing,Quite willing,Quite willing,Quite willing,Quite willing,Extremely willing,I am already doing this,Extremely willing,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Hepatopancreaticobiliary Surgery'],,20,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
83,2023-06-20 09:22:32,2023-06-20 09:32:15,IP Address,128.252.210.3,100,582,True,2023-06-20 09:32:15,R_xzJ4K6id78A5y2B,,,,,38.6433,-90.2575,anonymous,EN,Slightly critical,Slightly motivated,Low priority,Moderately well,Slight effort,Slightly well,Extremely true,Quite true,Often,Sometimes,Quite true,Not at all confident,Extremely willing,Quite willing,Extremely willing,Moderately willing,Quite willing,Slightly willing,Moderately willing,I am already doing this,Extremely willing,Not at all willing,Quite motivated,Not at all motivated,Quite motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Vascular Surgery'],,23,"Did entire residency with reusable gowns, worked at VAMC with reusable gowns. The problem with current systems management is that surgeons are not positively incentivized. Financial incentives will be key to sustained participation. ""Money in your pocket"" wins out over ""save the polar bears"".",washu,0,,0,0,,['0.02857142857142857'],QID1,Midwest,7,99,1
90,2023-06-22 15:42:50,2023-06-22 15:48:09,IP Address,63.241.90.251,100,319,True,2023-06-22 15:48:10,R_2P8dQyyYMKqijQE,,,,,37.7906,-122.2412,anonymous,EN,Quite critical,Moderately motivated,Quite a high priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Quite true,Almost always,Often,Slightly true,Slightly confident,Moderately willing,Extremely willing,Quite willing,Quite willing,Quite willing,Slightly willing,Quite willing,Slightly willing,Quite willing,Quite willing,Quite motivated,Slightly motivated,Quite motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,Slightly motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology']",,2,"Preference cards, if designed appropriately, can reduce the number of items opened and wasted. If I know that I will likely only need a major tray if a diagnostic laparoscopy is negative, I can ask to just have 2 ports and a minor set available till the decision is made to open and go ahead with a major resection. ",ucsf,0,,0,0,,['0.02857142857142857'],QID1,West,9,123,1
92,2023-06-24 21:52:34,2023-06-24 21:57:21,IP Address,69.181.19.102,100,287,True,2023-06-24 21:57:22,R_RDgsBQuNAN6zJh7,,,,,37.7958,-122.4203,anonymous,EN,Extremely critical,Quite motivated,Top priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Quite true,Almost always,Almost never,Moderately true,Moderately confident,Quite willing,Quite willing,Moderately willing,Quite willing,Extremely willing,Moderately willing,Moderately willing,Quite willing,Moderately willing,I am already doing this,Extremely motivated,Quite motivated,Extremely motivated,Quite motivated,Quite motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,3,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
99,2023-07-20 21:35:31,2023-07-20 21:40:29,IP Address,24.111.216.243,100,297,True,2023-07-20 21:40:30,R_1DZJ8RKyRh2ysE0,,,,,47.9292,-97.0342,anonymous,EN,Quite critical,Quite motivated,Moderate priority,Quite well,Not at a lot of effort,Slightly well,Extremely true,Quite true,Once in a while,Once in a while,Extremely true,Slightly confident,Quite willing,Quite willing,Quite willing,Quite willing,Quite willing,Moderately willing,Slightly willing,I am already doing this,I am already doing this,Quite willing,Moderately motivated,Moderately motivated,Quite motivated,Moderately motivated,Moderately motivated,Not at all motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,30,,und,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,8,11,1
101,2023-07-21 12:00:26,2023-07-21 12:04:35,IP Address,168.91.168.139,100,248,True,2023-07-21 12:04:35,R_2EF4VCSzAejGddJ,,,,,40.595,-75.5289,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Moderately well,Not at a lot of effort,Not very well,Quite true,Quite true,Almost always,Almost never,Quite true,Quite confident,Moderately willing,Quite willing,Not at all willing,Not at all willing,I am already doing this,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Moderately willing,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Not at all motivated,Moderately motivated,Moderately motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),21,,lehigh,0,,0,0,,['0.02857142857142857'],QID13,Northeast,3,55,1
102,2023-07-21 12:30:18,2023-07-21 12:34:57,IP Address,24.115.194.237,100,278,True,2023-07-21 12:34:57,R_1l9JWGNAOhwXL8A,,,,,40.5384,-75.4293,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Slightly true,Moderately true,Almost always,Often,Extremely true,Quite confident,Slightly willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Not at all motivated,Extremely motivated,Slightly motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,['Pediatric Surgery'],,14,Great study!!!,lehigh,0,,0,0,,['0.02857142857142857'],QID1,Northeast,3,55,1
103,2023-07-21 12:01:22,2023-07-21 12:35:31,IP Address,209.50.141.57,100,2048,True,2023-07-21 12:35:31,R_1rxAih9TOpteG5G,,,,,40.5885,-75.4642,anonymous,EN,Moderately critical,Moderately motivated,Quite a high priority,Slightly well,Slight effort,Moderately well,Quite true,Moderately true,Sometimes,Sometimes,Moderately true,Moderately confident,Moderately willing,Slightly willing,Slightly willing,Slightly willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Acute Care Surgery/Emergency General Surgery'],,1,,lehigh,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,3,55,1
104,2023-07-21 12:40:13,2023-07-21 12:44:52,IP Address,209.50.141.57,100,279,True,2023-07-21 12:44:53,R_2dviQmjAazqFaQo,,,,,40.5885,-75.4642,anonymous,EN,Moderately critical,Not at all motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Quite true,Quite true,Almost always,Almost always,Moderately true,Not at all confident,Moderately willing,Quite willing,Slightly willing,I am already doing this,I am already doing this,Not at all willing,Not at all willing,I am already doing this,I am already doing this,Not at all willing,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Moderately motivated,Moderately motivated,Moderately motivated,Slightly motivated,Moderately motivated,,,,['Pediatric Surgery'],,18,,lehigh,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,3,55,1
105,2023-07-21 12:44:44,2023-07-21 12:48:11,IP Address,107.77.203.22,100,207,True,2023-07-21 12:48:12,R_2Vlj7rUE9JqtOd2,,,,,40.0146,-75.7136,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Almost always,Almost never,Extremely true,Extremely true,I am already doing this,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Slightly willing,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,16,Great concepts.  This is a long time coming.  Thanks!,lehigh,0,,0,0,,['0.02857142857142857'],QID1,Northeast,3,55,1
106,2023-07-21 13:12:25,2023-07-21 13:17:55,IP Address,167.12.22.201,100,329,True,2023-07-21 13:17:55,R_1gRvKfCTUXixOEb,,,,,40.5885,-75.4642,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Not very well,Quite true,Quite true,Often,Sometimes,Slightly true,Not at all confident,Moderately willing,Moderately willing,Extremely willing,I am already doing this,Extremely willing,Slightly willing,Not at all willing,Not at all willing,Moderately willing,Extremely willing,Quite motivated,Quite motivated,Extremely motivated,Moderately motivated,Quite motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Vascular Surgery'],,25,,lehigh,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,3,55,1
107,2023-07-21 13:01:28,2023-07-21 14:02:34,IP Address,216.164.139.32,100,3666,True,2023-07-21 14:02:35,R_XzhJVEHKpVJNZpn,,,,,40.6366,-75.4405,anonymous,EN,Extremely critical,Moderately motivated,Top priority,Moderately well,Not at a lot of effort,Moderately well,Quite true,Quite true,Sometimes,Once in a while,Quite true,Moderately confident,Quite willing,Slightly willing,Moderately willing,Moderately willing,Quite willing,Slightly willing,Slightly willing,Not at all willing,Slightly willing,Moderately willing,Slightly motivated,Not at all motivated,Slightly motivated,Not at all motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Hepatopancreaticobiliary Surgery']",Program Director (or Assistant Program Director),12,,lehigh,0,,0,0,,['0.02857142857142857'],QID13,Northeast,3,55,1
108,2023-07-21 17:33:56,2023-07-21 17:40:24,IP Address,64.121.53.223,100,387,True,2023-07-21 17:40:24,R_1imx1MSykMkrOom,,,,,40.595,-75.5289,anonymous,EN,Quite critical,Extremely motivated,Quite a high priority,Moderately well,Slight effort,Slightly well,Quite true,Moderately true,Often,Sometimes,Quite true,Extremely true,Quite willing,Moderately willing,Extremely willing,I am already doing this,Quite willing,Moderately willing,Extremely willing,I am already doing this,Extremely willing,I am already doing this,Quite motivated,Quite motivated,Moderately motivated,Moderately motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,Moderately motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Endocrine Surgery']",,11,,lehigh,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,3,55,1
109,2023-07-23 08:14:50,2023-07-23 08:21:31,IP Address,24.115.237.131,100,401,True,2023-07-23 08:21:32,R_2cdSJKOOxBslwUk,,,,,40.6539,-75.7457,anonymous,EN,Slightly critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Slightly well,Extremely true,Extremely true,Sometimes,Sometimes,Slightly true,Slightly confident,Extremely willing,Extremely willing,Moderately willing,Extremely willing,Quite willing,Moderately willing,Quite willing,Extremely willing,Quite willing,Quite willing,Quite motivated,Slightly motivated,Moderately motivated,Moderately motivated,Slightly motivated,Not at all motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,2,,lehigh,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,3,55,1
110,2023-07-23 13:43:38,2023-07-23 13:46:50,IP Address,167.12.23.201,100,191,True,2023-07-23 13:46:50,R_1eWrKoksiLibRej,,,,,40.5538,-75.6514,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Moderately well,Moderate effort,Moderately well,Moderately true,Moderately true,Sometimes,Often,Moderately true,Moderately confident,Quite willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Not at all willing,Extremely willing,Extremely willing,Slightly motivated,Moderately motivated,Slightly motivated,Quite motivated,Moderately motivated,Not at all motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Vascular Surgery'],Program Director (or Assistant Program Director),15,,lehigh,0,,0,0,,['0.02857142857142857'],QID13,Northeast,3,55,1
111,2023-07-24 08:15:57,2023-07-24 08:24:28,IP Address,167.12.22.201,100,511,True,2023-07-24 08:24:29,R_Zt98xiUdY2M5kcN,,,,,40.5885,-75.4642,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Quite well,Quite a bit of effort,Quite well,Extremely true,Extremely true,Often,Often,Moderately true,Slightly confident,I am already doing this,I am already doing this,Moderately willing,I am already doing this,Extremely willing,Extremely willing,Not at all willing,I am unable to do this,I am already doing this,Not at all willing,Not at all motivated,Not at all motivated,Slightly motivated,Quite motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Moderately motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Plastics Surgery', 'Trauma Surgery/Critical Care']",,25,Sustainability and patient safety regulations conflict. How about just getting rid of expiration dates on medical equipment and disposables? Instead put something like :suggested usage by...,lehigh,0,,0,0,,['0.02857142857142857'],QID1,Northeast,3,55,1
112,2023-07-25 08:38:11,2023-07-25 08:43:52,IP Address,128.252.212.209,100,341,True,2023-07-25 08:43:53,R_SUz7eT5rFdus8pP,,,,,38.662,-90.2889,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Quite true,Sometimes,Sometimes,Slightly true,Slightly confident,Moderately willing,Extremely willing,Quite willing,Quite willing,Extremely willing,Extremely willing,Quite willing,I am already doing this,Extremely willing,Moderately willing,Extremely motivated,Quite motivated,Extremely motivated,Extremely motivated,Extremely motivated,Not at all motivated,Quite motivated,Quite motivated,Quite motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery']",,3,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
113,2023-07-25 10:48:04,2023-07-25 11:02:05,IP Address,167.12.22.201,100,840,True,2023-07-25 11:02:07,R_3nkeXM71TuGtXY7,,,,,40.5885,-75.4642,anonymous,EN,Quite critical,Quite motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Quite true,Moderately true,Almost always,Once in a while,Quite true,Moderately confident,Quite willing,Quite willing,Not at all willing,Moderately willing,Extremely willing,Quite willing,Extremely willing,Quite willing,Extremely willing,Extremely willing,Extremely motivated,Quite motivated,Extremely motivated,Quite motivated,Quite motivated,Moderately motivated,Quite motivated,Quite motivated,Quite motivated,,,,['Bariatric/Minimally Invasive Surgery'],,17,Having computer access to our own preference card with ability to make alterations via check box and see other's preferences would be helpful.,lehigh,0,,0,0,,['0.02857142857142857'],QID1,Northeast,3,55,1
114,2023-07-25 11:31:23,2023-07-25 11:35:22,IP Address,128.252.154.3,100,238,True,2023-07-25 11:35:22,R_2EgCuYyTqjW8vx8,,,,,38.6433,-90.2575,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Moderately true,Moderately true,Often,Sometimes,Quite true,Not at all confident,Moderately willing,Moderately willing,Not at all willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,I am already doing this,Extremely willing,Extremely willing,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),10,,washu,0,,0,0,,['0.02857142857142857'],QID13,Midwest,7,99,1
115,2023-07-25 14:28:47,2023-07-25 14:33:49,IP Address,128.252.212.128,100,301,True,2023-07-25 14:33:49,R_269eQpqR00ti374,,,,,38.662,-90.2889,anonymous,EN,Moderately critical,Extremely motivated,Quite a high priority,Moderately well,Slight effort,Not very well,Slightly true,Slightly true,Once in a while,Almost always,Slightly true,Moderately confident,Moderately willing,Slightly willing,Quite willing,Extremely willing,Extremely willing,Moderately willing,Extremely willing,Moderately willing,I am already doing this,I am already doing this,Slightly motivated,Quite motivated,Quite motivated,Moderately motivated,Not at all motivated,Not at all motivated,Moderately motivated,Moderately motivated,Quite motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery', 'Endocrine Surgery']",Program Director (or Assistant Program Director),33,Working w the same OR team is critical to reducing opening of un needed supplies and waste. ,washu,0,,0,0,,['0'],,Midwest,7,99,1
