,survey_info_response_id,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,demographic_distribution_x,demographic_practice_list,demographic_role_list,demographic_years_in_practice,demographic_distribution_y,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size
97,R_2txR0mP9V8dA351,5,5,5,2,2,2,4,3,3,3,2,3,4,3,3,4,5,5,5,5,5,3,3,3,3,4,2,2,3,4,1,washu,['Transplant Surgery'],Program Director (or Assistant Program Director),1,washu,Midwest,7,99
98,R_2anudYeXDJQ6Zsu,2,4,3,1,1,1,4,4,4,3,3,2,4,4,4,4,5,2,4,1,5,5,4,4,4,4,4,1,3,3,3,washu,['Pediatric Surgery'],,6,washu,Midwest,7,99
99,R_2CE2cX0g5eeVA13,2,2,3,3,2,1,4,4,3,4,4,2,2,2,5,5,3,3,2,3,5,4,2,2,4,4,2,1,2,2,2,washu,['Pediatric Surgery'],Program Director (or Assistant Program Director),26,washu,Midwest,7,99
100,R_2ro1PARHbeh2GrX,4,4,4,1,1,1,3,3,5,3,3,2,3,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Breast Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Pediatric Surgery']",,32,washu,Midwest,7,99
101,R_Qh1HxO1KFRChkYN,3,4,5,1,2,2,5,5,2,4,4,1,5,4,3,3,5,5,4,3,4,3,5,3,5,1,4,1,1,3,1,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery']",,20,washu,Midwest,7,99
102,R_1IuZy5Ff4HgH6Qy,2,2,1,4,1,2,5,2,4,4,2,1,5,5,5,5,4,3,2,5,5,5,2,2,3,2,1,1,1,1,2,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),21,washu,Midwest,7,99
103,R_XOpigBJlgrfT6W5,4,2,3,3,2,2,4,4,3,5,2,3,3,4,5,5,4,2,4,2,5,4,5,4,5,3,5,2,3,3,5,washu,"['Abdominal Wall/Hernia Surgery', 'Hepatopancreaticobiliary Surgery']",Program Director (or Assistant Program Director),16,washu,Midwest,7,99
104,R_2w66EVkTBem7xud,3,1,3,1,1,1,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,2,3,2,3,2,1,1,2,2,ucsf,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,15,ucsf,West,9,123
105,R_27KHJQggTLrIzVp,4,4,4,3,2,2,3,3,4,4,4,2,3,3,4,3,4,4,4,4,4,4,4,3,4,4,2,2,3,2,2,ucsf,['Pediatric Surgery'],,44,ucsf,West,9,123
106,R_2VsFaAFVnUfN9Fy,3,4,4,3,2,2,4,3,5,3,3,3,4,4,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,ucsf,['Endocrine Surgery'],,24,ucsf,West,9,123
107,R_2QRkpAOSaCPPpLW,5,5,5,3,1,2,5,5,5,4,5,2,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,3,5,5,5,texastech,"['Abdominal Wall/Hernia Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology']",,7,texastech,Southwest,6,27
108,R_1jJkcoKRUwvFUst,2,1,2,1,1,1,2,2,2,4,1,1,3,2,4,4,4,1,2,2,2,2,2,2,2,1,1,1,1,2,1,texastech,['Colon and Rectal Surgery'],,3,texastech,Southwest,6,27
109,R_3Pzges8qo3I0CSi,5,5,4,1,2,1,5,5,3,4,4,4,5,5,5,5,5,3,1,3,5,3,4,4,4,4,4,3,1,1,1,ucsf,['Pediatric Surgery'],,16,ucsf,West,9,123
110,R_3JDfe2Ia02SxZnl,5,4,4,3,2,1,4,4,4,3,4,4,5,5,4,4,3,3,4,3,5,3,5,5,5,5,5,1,4,4,5,texastech,['Plastics Surgery'],,4,texastech,Southwest,6,27
111,R_3KxsI7XvqtYgZwK,1,2,2,3,1,2,5,5,4,3,3,3,4,4,5,4,3,1,1,5,5,2,4,2,4,2,1,1,1,1,1,washu,['Vascular Surgery'],,20,washu,Midwest,7,99
112,R_3Ed8uhovlsRVJYq,5,4,5,3,1,1,5,4,5,3,5,4,5,5,5,5,5,4,5,3,3,3,5,2,4,3,4,3,5,2,4,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Breast Surgery', 'Cardiac Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Pediatric Surgery', 'Surgical Oncology', 'Vascular Surgery', 'Thoracic Surgery', 'Trauma Surgery/Critical Care']",,2,washu,Midwest,7,99
113,R_2s6ZUTp6GIuGVOj,5,5,5,1,1,1,5,5,4,3,2,2,5,5,5,5,5,5,5,5,5,5,2,3,3,3,2,2,3,3,3,ucsf,['Thoracic Surgery'],Program Director (or Assistant Program Director),5,ucsf,West,9,123
114,R_sp3hfKBEOZVf7qx,4,4,4,3,3,2,5,4,2,4,3,2,5,3,5,5,5,5,4,3,5,5,4,4,4,4,4,1,4,4,5,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,15,ucsf,West,9,123
115,R_1l0KxgxjDGcq2Rv,5,5,5,5,1,1,4,4,5,3,5,3,5,5,5,5,5,5,5,5,5,3,2,2,4,4,3,4,2,2,2,texastech,['Acute Care Surgery/Emergency General Surgery'],Department Chair,,texastech,Southwest,6,27
116,R_2dF0hbaD1IswgJq,4,4,4,3,1,1,3,3,4,3,3,4,4,4,4,4,4,4,4,2,4,1,4,4,4,4,4,2,4,4,4,texastech,['Plastics Surgery'],,1,texastech,Southwest,6,27
117,R_2cBeUOwXB5b4FmA,5,5,4,3,1,1,5,5,5,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,2,texastech,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),5,texastech,Southwest,6,27
118,R_3hFudgXE3gQSbBg,5,5,4,4,2,2,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Breast Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Pediatric Surgery', 'Plastics Surgery', 'Surgical Oncology', 'Thoracic Surgery', 'Trauma Surgery/Critical Care']",,18,ucsf,West,9,123
119,R_1IF3PLpW5nl93hx,3,3,4,1,2,1,3,2,4,4,2,1,2,2,4,5,5,3,2,5,5,5,2,2,2,2,1,2,1,1,1,washu,['Colon and Rectal Surgery'],,,washu,Midwest,7,99
120,R_2U478FaHpQOHa2o,3,2,2,1,1,1,5,5,2,4,4,2,3,5,2,5,5,3,5,5,3,5,3,2,4,3,1,3,2,1,1,washu,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,,washu,Midwest,7,99
121,R_1CBeSVh0Pbdmyxo,3,4,3,3,2,2,4,3,4,4,3,2,5,4,4,5,4,5,3,4,5,2,4,1,4,1,4,1,1,1,1,vanderbilt,['Abdominal Wall/Hernia Surgery'],,30,vanderbilt,Southeast,4,88
122,R_10Ss4g1gSfQXL6w,5,5,4,1,1,1,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,4,5,vanderbilt,"['Hepatopancreaticobiliary Surgery', 'Surgical Oncology']",,10,vanderbilt,Southeast,4,88
123,R_24pisG2hsqMH7ZY,4,4,4,4,2,3,5,5,4,4,3,4,4,4,5,4,5,3,3,4,4,4,2,3,3,4,3,2,1,1,1,vanderbilt,['Other'],,40,vanderbilt,Southeast,4,88
124,R_1H8k9rFMhAow3Wx,5,5,5,1,2,2,5,5,3,3,3,2,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,vanderbilt,['Acute Care Surgery/Emergency General Surgery'],,15,vanderbilt,Southeast,4,88
125,R_3ew21VBTSFHvZfG,5,5,4,2,1,2,4,4,4,1,3,4,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,3,3,3,5,vanderbilt,['Endocrine Surgery'],Department Chair,22,vanderbilt,Southeast,4,88
126,R_3qyqSUxKSDrEbv6,3,3,4,2,1,1,4,4,4,1,5,2,5,4,5,5,5,5,5,4,1,2,5,5,5,3,1,2,3,2,2,vanderbilt,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),7,vanderbilt,Southeast,4,88
127,R_r3gOWTtVPw1MJNv,3,4,3,3,1,1,5,3,4,1,5,4,5,3,4,4,5,5,4,5,5,5,4,4,4,4,4,4,4,4,2,vanderbilt,['Colon and Rectal Surgery'],,,vanderbilt,Southeast,4,88
128,R_12EBfLJeD9sfTrj,5,5,4,1,1,1,5,4,3,4,2,3,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,vanderbilt,['Colon and Rectal Surgery'],,2,vanderbilt,Southeast,4,88
129,R_2dEYSAy8XxvLP15,3,3,3,3,1,2,3,4,4,3,2,1,4,5,4,5,5,4,4,4,5,5,1,1,3,1,3,1,2,3,3,vanderbilt,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,2,vanderbilt,Southeast,4,88
130,R_3EcBXpXxH3Fao16,3,3,3,1,1,1,3,3,4,3,4,3,4,2,4,3,5,4,2,3,5,5,4,4,5,5,3,2,2,2,3,vanderbilt,['Trauma Surgery/Critical Care'],Program Director (or Assistant Program Director),,vanderbilt,Southeast,4,88
131,R_29gNMwwmgJRX8z7,3,5,4,1,1,1,4,4,5,4,2,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,3,4,vanderbilt,['Vascular Surgery'],,25,vanderbilt,Southeast,4,88
132,R_eDUve5ckkd1fhpT,4,4,4,2,1,1,2,4,3,3,5,1,4,4,5,5,4,5,5,5,5,5,5,2,5,4,3,1,3,3,3,vanderbilt,['Trauma Surgery/Critical Care'],,5,vanderbilt,Southeast,4,88
133,R_2X6FUofPy7MDhUg,5,5,5,2,1,1,5,2,4,2,4,5,4,3,5,5,5,5,5,5,5,5,5,3,5,3,3,2,3,3,3,vanderbilt,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),14,vanderbilt,Southeast,4,88
134,R_tJTpjTikzXsi5MZ,4,5,5,2,1,1,4,4,4,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,2,2,2,2,vanderbilt,"['Breast Surgery', 'Surgical Oncology']",Program Director (or Assistant Program Director),8,vanderbilt,Southeast,4,88
135,R_3e9yDL1dsJXFnZo,5,5,5,3,1,1,5,4,5,3,5,5,5,5,5,5,5,5,5,4,4,4,5,3,5,3,5,5,5,5,5,vanderbilt,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",,29,vanderbilt,Southeast,4,88
136,R_8BLDXpGMm0M3kw9,3,3,3,2,1,1,4,4,4,4,2,2,4,2,1,2,5,2,3,2,2,5,3,3,3,3,3,3,3,3,3,und,['Thoracic Surgery'],Department Chair,23,und,Midwest,8,11
137,R_2BfXzIypRtLQHZb,2,3,3,2,1,2,3,2,2,1,2,2,3,2,2,2,4,4,3,4,4,4,3,3,3,3,3,3,1,1,1,und,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery']",,12,und,Midwest,8,11
138,R_2xXW2g61RdKJFzu,4,4,4,1,1,1,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,4,4,4,4,vanderbilt,['Vascular Surgery'],Department Chair,30,vanderbilt,Southeast,4,88
139,R_a5cpvMWPsINsCIh,5,4,4,1,1,1,4,4,5,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,vanderbilt,['Colon and Rectal Surgery'],,7,vanderbilt,Southeast,4,88
140,R_Y30WD5Dz6Vpzmwh,5,5,4,4,1,1,3,3,4,3,5,4,3,3,5,5,4,1,2,5,5,3,2,1,4,2,2,1,1,1,1,vanderbilt,['Breast Surgery'],Program Director (or Assistant Program Director),7,vanderbilt,Southeast,4,88
141,R_1PTYJE13HVRVO61,2,2,3,2,1,2,5,4,4,3,2,1,3,4,4,5,4,2,2,1,5,5,5,2,5,2,4,1,1,1,2,vanderbilt,['Pediatric Surgery'],,4,vanderbilt,Southeast,4,88
142,R_2uzvZEJHAEqAKbv,5,4,4,1,1,1,4,2,3,1,4,3,5,1,3,5,5,5,5,5,5,4,5,5,5,3,5,5,4,4,4,vanderbilt,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),10,vanderbilt,Southeast,4,88
143,R_3qmqyRyKqIQ1O3H,2,3,3,1,1,1,4,2,3,3,3,2,4,2,5,5,4,3,3,3,5,5,3,3,3,3,3,1,1,3,1,vanderbilt,['Surgical Oncology'],Program Director (or Assistant Program Director),8,vanderbilt,Southeast,4,88
144,R_uxkZThumLbhLE3L,4,4,4,3,1,1,5,4,5,1,2,3,5,4,4,4,5,4,5,5,5,4,5,5,5,4,5,4,5,5,5,vanderbilt,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",,1,vanderbilt,Southeast,4,88
145,R_UDPM1PtsBh56b8B,3,3,3,3,2,2,4,3,4,4,3,3,5,5,5,5,5,3,5,5,5,5,5,4,5,3,4,2,2,3,3,vanderbilt,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology', 'Transplant Surgery']",,35,vanderbilt,Southeast,4,88
146,R_dbX201lruYaENR7,3,2,3,2,1,3,3,4,1,4,3,2,3,3,1,3,3,1,2,5,5,3,5,1,5,1,2,1,1,1,1,lehigh,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,4,lehigh,Northeast,3,55
147,R_1LS8kD0CLZ0kDm1,4,5,4,3,1,1,4,4,3,3,4,4,5,5,5,5,5,5,5,1,5,4,2,3,3,4,4,4,4,4,4,vanderbilt,"['Acute Care Surgery/Emergency General Surgery', 'Pediatric Surgery', 'Trauma Surgery/Critical Care']",,18,vanderbilt,Southeast,4,88
148,R_2OGzV95EloMXu6K,4,4,4,1,2,1,4,2,4,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,3,vanderbilt,['Vascular Surgery'],Program Director (or Assistant Program Director),17,vanderbilt,Southeast,4,88
149,R_QhNnooIIztQ2ZlD,4,4,4,2,2,3,3,2,4,3,1,3,4,3,3,2,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,und,['Acute Care Surgery/Emergency General Surgery'],,5,und,Midwest,8,11
150,R_SAGjKHTTYgM0vap,5,4,4,4,1,1,5,3,5,3,5,4,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,2,2,2,3,vanderbilt,['Abdominal Wall/Hernia Surgery'],Program Director (or Assistant Program Director),9,vanderbilt,Southeast,4,88
151,R_1LIIasb1kfIw4qo,5,5,4,1,1,1,4,5,4,2,2,3,4,4,4,4,4,3,5,4,5,5,5,5,5,3,4,2,4,4,5,texastech,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery', 'Endocrine Surgery', 'Surgical Oncology']",,1,texastech,Southwest,6,27
152,R_10UaOW7xBXiXL5G,2,2,2,2,1,1,4,4,2,4,2,1,3,4,1,4,3,2,3,2,2,1,2,1,2,3,1,1,1,2,1,und,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),15,und,Midwest,8,11
153,R_2wssCIKRbWQ9ViV,5,5,5,3,3,3,5,5,3,4,1,5,5,5,1,1,5,5,5,1,5,5,5,3,5,3,5,3,3,3,5,texastech,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,10,texastech,Southwest,6,27
154,R_2X0aiqb8m6fm8da,3,2,3,2,2,2,5,5,4,3,4,2,5,5,5,5,5,4,1,2,4,5,2,2,3,1,2,1,1,1,1,texastech,['Trauma Surgery/Critical Care'],,3,texastech,Southwest,6,27
155,R_1d9QPuh2BwiqvWE,5,5,4,1,1,1,1,4,5,3,4,2,2,5,4,5,5,3,5,5,5,5,5,2,4,4,4,1,1,1,1,vanderbilt,['Pediatric Surgery'],Program Director (or Assistant Program Director),21,vanderbilt,Southeast,4,88
156,R_3EnX6b91L6jszQi,4,5,4,4,2,2,5,5,5,1,5,1,5,5,1,2,4,2,3,5,5,3,5,1,5,2,2,1,2,1,2,texastech,['Vascular Surgery'],Program Director (or Assistant Program Director),27,texastech,Southwest,6,27
157,R_2BbUGsnbQxYXxvr,4,4,4,2,1,1,3,3,3,4,3,3,4,2,5,5,4,2,2,5,5,1,1,3,1,3,1,1,3,3,3,lahey,['Transplant Surgery'],,3,lahey,Northeast,1,38
158,R_1IMH4WuD0Xjmq12,2,3,3,2,2,1,3,3,4,5,3,2,3,3,4,3,5,3,4,3,2,3,2,2,2,2,2,2,1,2,2,lahey,['Breast Surgery'],,9,lahey,Northeast,1,38
159,R_3qgtBMFFkjHX8hq,3,4,3,2,1,1,2,3,2,5,3,4,3,4,4,5,5,5,5,5,5,5,5,4,5,3,3,3,3,3,3,vanderbilt,['Bariatric/Minimally Invasive Surgery'],Program Director (or Assistant Program Director),15,vanderbilt,Southeast,4,88
160,R_25yfqWHHDPT4CVl,5,5,5,4,1,2,4,4,5,5,4,4,5,5,4,5,4,4,5,5,4,3,5,5,5,4,4,1,1,3,3,lahey,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",,40,lahey,Northeast,1,38
161,R_1CvU9wHF99YUsEB,5,4,4,1,1,1,3,3,5,3,3,2,2,2,5,5,5,1,4,3,4,2,2,2,4,3,2,1,2,2,2,lahey,['Hepatopancreaticobiliary Surgery'],Department Chair,25,lahey,Northeast,1,38
162,R_24dP0BeJ7pCo9L2,2,1,2,1,1,1,4,4,3,3,3,1,5,3,5,5,4,4,3,3,5,5,4,3,4,4,3,3,2,2,3,vanderbilt,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),11,vanderbilt,Southeast,4,88
163,R_UKkNGT4Bn95ORjP,3,4,4,2,1,1,4,3,4,3,4,4,4,4,4,4,4,4,4,1,2,1,3,3,3,2,2,1,3,3,2,lahey,['Vascular Surgery'],,30,lahey,Northeast,1,38
164,R_3polofbo2dbEr3Z,5,5,5,3,1,1,4,4,2,4,4,4,5,5,5,5,5,3,4,4,5,3,4,4,4,3,3,2,2,2,3,vanderbilt,"['Hepatopancreaticobiliary Surgery', 'Transplant Surgery']",,22,vanderbilt,Southeast,4,88
165,R_3GjqtqfCjl8E7z7,3,3,3,2,2,2,3,2,4,3,3,2,4,3,5,3,4,4,4,5,5,5,3,4,3,4,3,2,4,5,4,vanderbilt,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Trauma Surgery/Critical Care']",,,vanderbilt,Southeast,4,88
166,R_1FhTcL6L17bVAzH,4,4,4,4,1,3,5,5,3,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,cornell,['Acute Care Surgery/Emergency General Surgery'],,20,cornell,Northeast,2,49
167,R_3JKOa78EdjcMvGc,3,5,4,4,1,1,5,5,4,2,4,3,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,cornell,['Other'],,0.15,cornell,Northeast,2,49
168,R_3lQ9XGCjTS9fO7t,4,4,5,2,1,2,4,3,4,3,2,3,3,3,5,5,5,5,5,2,5,5,5,4,5,5,5,4,4,4,5,cornell,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),13,cornell,Northeast,2,49
169,R_1LbrMOgzVa7SbzM,4,4,4,4,1,2,5,3,3,4,4,2,5,4,3,4,5,2,5,5,3,2,4,4,4,5,4,1,2,3,1,cornell,"['Abdominal Wall/Hernia Surgery', 'Endocrine Surgery']",Program Director (or Assistant Program Director),30,cornell,Northeast,2,49
170,R_3KolgpRC8kMoTeu,3,4,3,3,1,1,5,4,4,3,2,3,4,4,4,5,5,3,4,5,5,5,3,3,3,3,3,1,2,3,2,cornell,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),33,cornell,Northeast,2,49
171,R_1q7CnJFPUYNvfQy,4,5,4,4,2,2,3,4,4,3,5,4,4,4,3,3,5,4,5,5,5,2,5,5,5,4,4,4,5,5,5,cornell,['Vascular Surgery'],,18,cornell,Northeast,2,49
172,R_2bN7d7LxvDyCBTH,3,3,3,3,2,3,4,4,4,4,3,1,5,5,5,5,5,5,1,1,5,1,2,2,2,2,2,2,1,2,2,cornell,['Other'],Program Director (or Assistant Program Director),21,cornell,Northeast,2,49
173,R_1F54SHaVc5tjwxl,4,4,4,4,2,2,3,2,4,3,3,3,4,3,4,4,4,4,4,5,5,3,4,4,4,3,4,4,1,2,1,cornell,['Other'],Department Chair,39,cornell,Northeast,2,49
174,R_1jJNfmdjKEg0FRF,3,4,3,3,1,1,5,4,4,4,5,4,5,5,5,4,5,3,1,5,5,3,5,5,5,5,5,3,4,3,4,cornell,['Colon and Rectal Surgery'],,19,cornell,Northeast,2,49
175,R_Oex4oqrWR7dOYkp,5,3,4,2,1,1,2,3,4,5,1,1,4,4,4,5,5,4,3,1,5,3,4,2,3,3,4,1,2,2,2,texastech,['Other'],Program Director (or Assistant Program Director),15,texastech,Southwest,6,27
176,R_3MGTBYLBsa4VvcI,4,5,5,2,2,2,3,3,3,2,3,3,3,3,5,5,5,5,4,4,5,5,4,4,4,4,3,2,3,2,2,vanderbilt,['Pediatric Surgery'],Department Chair,,vanderbilt,Southeast,4,88
177,R_3nAh7XklzVzKNUs,2,2,2,2,1,1,5,5,2,4,1,2,5,5,2,2,5,2,2,1,5,5,3,3,3,3,3,2,1,1,1,cornell,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,19,cornell,Northeast,2,49
178,R_2Cy4ScFJIPWiAT4,4,2,4,1,1,1,4,3,4,4,3,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,lahey,['Colon and Rectal Surgery'],,3,lahey,Northeast,1,38
179,R_XG77v0gB5vp4bgB,4,3,4,1,1,1,2,1,5,4,4,3,5,5,5,5,5,5,4,4,5,5,5,4,5,3,2,2,3,3,3,cornell,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),4,cornell,Northeast,2,49
180,R_ZgFUjGq9Y4stI41,3,2,3,1,1,1,2,2,3,4,3,3,4,4,1,3,3,2,2,3,3,1,3,3,3,1,1,1,1,1,1,cornell,"['Abdominal Wall/Hernia Surgery', 'Breast Surgery']",,31,cornell,Northeast,2,49
181,R_T5GlIuTg9cZZOW5,4,5,5,3,1,1,4,4,4,3,2,4,4,5,5,5,5,3,4,5,5,5,5,5,5,5,5,3,4,4,4,cornell,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),7,cornell,Northeast,2,49
182,R_DH8yKSr53EhL9TP,2,2,3,3,2,2,1,3,4,3,3,1,4,4,4,5,4,4,4,5,5,2,4,4,5,4,4,2,2,2,2,cornell,['Other'],Department Chair,22,cornell,Northeast,2,49
183,R_XmQE5DWDvXp2WGd,3,2,3,2,1,2,4,4,3,1,2,1,4,4,3,3,4,1,4,1,3,3,4,3,4,4,3,1,1,1,1,cornell,['Hepatopancreaticobiliary Surgery'],,6,cornell,Northeast,2,49
184,R_1gjsUSHUuN0k5f3,5,5,5,1,1,1,4,4,5,1,5,3,5,5,5,5,5,5,5,5,4,5,3,2,3,1,4,1,1,2,4,ucsf,['Vascular Surgery'],,17,ucsf,West,9,123
185,R_3O7j5HCRPjvtOT4,4,4,4,1,1,1,4,4,5,2,4,3,5,5,5,5,5,5,5,5,5,4,3,5,3,5,3,1,2,3,4,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),20,ucsf,West,9,123
186,R_1pRNL8T5PVyxJpN,4,4,4,3,3,2,4,2,4,4,3,4,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,washu,['Colon and Rectal Surgery'],,21,washu,Midwest,7,99
187,R_27g94Yk2FuhSI2v,5,5,5,5,4,5,5,5,3,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,washu,['Acute Care Surgery/Emergency General Surgery'],,18,washu,Midwest,7,99
188,R_32JhyFZbxUbckic,3,2,3,1,1,1,4,3,3,4,2,2,3,3,4,4,4,3,5,4,4,4,3,3,3,3,3,3,3,3,3,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Endocrine Surgery']",,4,washu,Midwest,7,99
189,R_2SBo2pr43xXI7gm,3,2,3,2,2,2,3,3,4,3,3,2,4,4,4,4,4,4,4,4,4,4,1,1,3,3,1,1,1,1,1,washu,['Cardiac Surgery'],,11,washu,Midwest,7,99
190,R_0NBvYPFGDwGKwcF,4,5,4,1,2,2,4,3,2,5,3,2,4,5,5,5,5,3,2,5,5,2,3,3,4,2,1,1,3,2,2,washu,['Bariatric/Minimally Invasive Surgery'],,4,washu,Midwest,7,99
191,R_2fvRJknFO6JgrEs,3,3,3,2,2,2,4,4,3,4,2,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,4,3,3,3,washu,['Trauma Surgery/Critical Care'],,10,washu,Midwest,7,99
192,R_2rCkgOkh9r4mZTu,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,washu,['Hepatopancreaticobiliary Surgery'],,5,washu,Midwest,7,99
193,R_3I3ujBMAXA1w50G,5,5,4,2,1,1,4,4,5,1,2,5,4,5,5,5,5,4,5,3,5,4,5,5,5,5,5,3,3,3,4,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Trauma Surgery/Critical Care']",,12,washu,Midwest,7,99
